date,index,name,ticker,market_cap
2016-01-01,1,Bitcoin,BTC,$ 6.53B
2016-01-01,2,XRP,XRP,$ 199.22M
2016-01-01,3,Litecoin,LTC,$ 153.88M
2016-01-01,4,Ethereum,ETH,$ 71.94M
2016-01-01,5,Dash,DASH,$ 20.83M
2016-01-01,6,Dogecoin,DOGE,$ 15.73M
2016-01-01,7,Peercoin,PPC,$ 9.54M
2016-01-01,8,BitShares,BTS,$ 8.79M
2016-01-01,9,Stellar,XLM,$ 8.47M
2016-01-01,10,Namecoin,NMC,$ 6.12M
2016-01-01,11,Monero,XMR,$ 5.40M
2016-01-01,12,MonaCoin,MONA,$ 1.58M
2016-01-01,13,NEM,XEM,$ 1.45M
2016-01-01,14,Novacoin,NVC,$ 1.15M
2016-01-01,15,Tether,USDT,"$ 951,600"
2016-01-01,16,Primecoin,XPM,"$ 841,061"
2016-01-01,17,DigiByte,DGB,"$ 737,653"
2016-01-01,18,Quark,QRK,"$ 644,261"
2016-01-01,19,WorldCoin,WDC,"$ 585,310"
2016-01-01,20,ReddCoin,RDD,"$ 482,492"
2016-01-01,21,EarthCoin,EAC,"$ 478,233"
2016-01-01,22,Vertcoin,VTC,"$ 458,441"
2016-01-01,23,Feathercoin,FTC,"$ 400,459"
2016-01-01,24,FedoraCoin,TIPS,"$ 350,057"
